,,36th European Rhythmic Gymnastics Championships,,,,
,,,,Rhythmic Gymnastics,,
,,,,All-around Final,,
,,,,,Individual,
,,,,,SENIORS,
,Results By Apparatus,,,,,
Rank,Name,NOC Code,E,D,Penalty,Total
17,POLSTJANAJA Jelizaveta,LAT,7.2,12.4,0,19.6
18,STOJANOV Rejchl,MKD,6.75,12.5,0,19.25
19,SOSTAKAITE Fausta,LTU,6.95,12,0,18.95
20,SMIRNOVA Elena,LUX,6.7,11.5,0,18.2
21,GUZ Anastasia,MDA,5.4,12.2,0,17.6
22,STEPANKOVA Denisa,CZE,6.15,11.1,0,17.25
23,SAMBOL Lana,CRO,5.6,10.7,-0.600,15.7
24,MARKOVIC Jovana,MNE,3.3,7.7,0,11
25,KAHRIMAN Hana,BIH,2.05,4.6,0,6.65
LEGEND,,,,,,
,Clubs,D Difficulty,E Execution,,,
,Exclamation sign (!) indicates that Execution Reference was involved in calculation.,,,,,
GRYW1APCL-------------FNL---------_73A 1.0,Report Created SUN 29 Nov 2020 17:24 by SmartScoring,,,,,Page 1 /1
,,36th European Rhythmic Gymnastics Championships,,,,
,,,,Rhythmic Gymnastics,,
,,,,All-around Final,,
,,,,,Individual,
,,,,,SENIORS,
,Results By Apparatus,,,,,
Rank,Name,NOC Code,E,D,Penalty,Total
1,HARNASKO Alina,BLR,8.8,14.2,0,23
2,KALEYN Boryana,BUL,8.55,14.3,0,22.85
3,ASHRAM Linoy,ISR,8.35,14.4,0,22.75
4,ZELIKMAN Nicol,ISR,8.7, 13.4,0,22.1
5,SALOS Anastasiia,BLR,7.95,14,0,21.95
6,VEDENEEVA Ekaterina,SLO,8.6,13.3,0,21.9
7,TASEVA Katrin,BUL,8.4,13.4,0,21.8
8,MELESHCHUK Yeva,UKR,8.2,13.4,0,21.6
9,PIGNICZKI Fanni,HUN,7.95,13.2,0,21.15
10,VERDES Andreea,ROU,7.85,13,0,20.85
11,AGHAMIROVA Zohra,AZE,8,12.5,0,20.5
12,JALILOVA Arzu,AZE,7.85,12.6,0,20.45
13,ICHIM Sonia,ROU,7,12.3,0,19.3
14,TUNCEL Kamelya,TUR,7.35,11.9,0,19.25
15,STOJANOV Rejchl,MKD,7.3,11.7,0,19
16,BOGDANOVA Viktoria,EST,7.2,11.7,0,18.9
17,NIKOLCHENKO Vlada,UKR,6.8,13,-0.900,18.9
18,POLSTJANAJA Jelizaveta,LAT,6.8,10.6,0,17.4
19,SOSTAKAITE Fausta,LTU,6.35,10.7,0,17.05
20,GUZ Anastasia,MDA,6.15,10.5,0,16.65
21,STEPANKOVA Denisa,CZE,6.4,9.8,0,16.2
22,SMIRNOVA Elena,LUX,5.05,9.1,0,14.15
23,SAMBOL Lana,CRO,5.95,7.8,0,13.75
24,MARKOVIC Jovana,MNE,4.25,5.6,0,9.85
25,KAHRIMAN Hana,BIH,0.85,2,0,2.85
NOTE,Asterisk sign (*) at Difficulty score informs that score was under inquire.,,,,,
LEGEND,,,,,,
,Ribbon,D Difficulty,E Execution,,,
,Exclamation sign (!) indicates that Execution Reference was involved in calculation.,,,,,
GRYW1APRI-------------FNL---------_73A 1.0,Report Created SUN 29 Nov 2020 17:26 by SmartScoring,,,,,Page 1 /1
,,36th European Rhythmic Gymnastics Championships,,,,
,,,,Rhythmic Gymnastics,,
,,,,Apparatus Final,,
,,,,,Group,
,,,,,SENIORS,
,Results By Apparatus,,,,,
Rank,Name,NOC Code,E,D,Penalty,Total
1,UKRAINE,UKR,8.25,27.1,0,35.35
2,ISRAEL,ISR,8.15,26.3,0,34.45
3,ESTONIA,EST,7.8,25,0,32.8
4,AZERBAIJAN,AZE,7.35,24.1,0,31.45
5,TURKEY,TUR,5.9,21.6,0,27.5
6,FRANCE,FRA,5.7,20.6,-0.300,26
LEGEND,,,,,,
,5 Balls,D Difficulty,E Execution,,,
,Exclamation sign (!) indicates that Execution Reference was involved in calculation.,,,,,
GRYWTEAM5APBA---------FNL---------_73B 1.0,Report Created SUN 29 Nov 2020 17:51 by SmartScoring,,,,,Page 1 /1
,,36th European Rhythmic Gymnastics Championships,,,,
,,,,Rhythmic Gymnastics,,
,,,,Apparatus Final,,
,,,,,Group,
,,,,,SENIORS,
,Results By Apparatus,,,,,
Rank,Name,NOC Code,E,D,Penalty,Total
1,TURKEY,TUR,7.15,24,0,31.15
2,UKRAINE,UKR,7.15,24,0,31.15
3,AZERBAIJAN,AZE,6.65,24.0,0,30.65
4,ISRAEL,ISR,6.25,24.4,0,30.65
5,FRANCE,FRA,6.55,23,-0.300,29.25
6,ESTONIA,EST,5.75,19.8,-0.300,25.25
NOTE,Asterisk sign (*) at Difficulty score informs that score was under inquire.,,,,,
LEGEND,,,,,,
",""3 Hoops, 2x Clubs"",D Difficulty,E Execution,,,"
,Exclamation sign (!) indicates that Execution Reference was involved in calculation.,,,,,
GRYWTEAM3APHO4PCL-----FNL---------_73B 1.0,Report Created SUN 29 Nov 2020 17:51 by SmartScoring,,,,,Page 1 /1
